Parcel ID,Address,Use Code,Square Footage,Stories,Year Built,Latitude,Longitude
13026-844-000,2818  WOODMERE DR   PANAMA CITY 32405,SINGLE FAM (000100),2866.00,1,1988,30.20008776,-85.6588
13026-846-000,2820  WOODMERE DR   PANAMA CITY 32405,SINGLE FAM (000100),3110.00,1,1990,30.20015306,-85.6588
13026-848-000,2822  WOODMERE DR   PANAMA CITY 32405,SINGLE FAM (000100),3476.00,1,1991,30.20021837,-85.6588
13026-901-000,616  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2440.00,1,2012,30.19318452,-85.66956481
13026-902-000,614  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2067.00,1,2012,30.19318933,-85.66951666
13026-903-000,612  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2146.00,1,1999,30.19319415,-85.66946852
13026-904-000,610  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2466.00,1,1999,30.19319896,-85.66942038
13026-905-000,608  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2064.00,1,1999,30.19310755,-85.66922471
13026-906-000,606  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2462.00,1,1999,30.19307334,-85.6691905
13026-907-000,604  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2042.00,1,1999,30.1931,-85.66929676
13026-908-000,602  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2195.00,1,1999,30.1931,-85.66924838
13026-909-000,600  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2256.00,1,1999,30.1931,-85.6692
13026-910-000,601  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2045.00,1,1999,30.1927,-85.6692
13026-911-000,603  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2164.00,1,1999,30.1927,-85.66924838
13026-912-000,605  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2106.00,1,1999,30.1927,-85.66929676
13026-913-000,607  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2220.00,1,1999,30.1927905,-85.66947334
13026-914-000,609  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2330.00,1,1999,30.19282471,-85.66950755
13026-915-000,611  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2521.00,1,2007,30.19280094,-85.66938058
13026-916-000,613  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2314.00,1,1999,30.19279613,-85.66942872
13026-917-000,615  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2152.00,1,1999,30.19279132,-85.66947686
13026-918-000,617  WINDY LN   PANAMA CITY 32405,SINGLE FAM (000100),2008.00,1,1999,30.1927865,-85.669525
13027-001-000,2731  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),2972.00,1,1974,30.198525,-85.6807
13027-002-000,1218  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2415.00,1,1974,30.2,-85.6798
13027-003-000,1201  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2258.00,1,1974,30.2004,-85.6794
13027-004-000,2921  MARRON DR   PANAMA CITY 32405,SINGLE FAM (000100),2085.00,1,1993,30.19866988,-85.67939035
13027-004-010,2919  MARRON DR   PANAMA CITY 32405,SINGLE FAM (000100),2318.00,1,1993,30.19863035,-85.67939268
13027-005-000,2743  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),2117.00,1,1974,30.198675,-85.6807
13027-006-000,1222  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),1771.00,1,1974,30.2004,-85.67983
13027-007-000,1216  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2863.00,1,1981,30.2002,-85.67983409
13027-008-000,1232  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2922.00,1,1975,30.2004,-85.679905
13027-009-000,2915  MARRON DR   PANAMA CITY 32405,SINGLE FAM (000100),4282.00,1,1996,30.19855128,-85.67939733
13027-010-000,1126  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2606.00,1,1978,30.2002,-85.67917959
13027-012-000,2827  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),3452.00,1,1978,30.1992697,-85.6803
13027-015-000,2724  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),2312.00,1,1978,30.19864545,-85.6803
13027-018-000,2811  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),4623.00,2,1907,30.199525,-85.6807
13027-019-000,2925  MARRON DR   PANAMA CITY 32405,SINGLE FAM (000100),2893.00,1,1985,30.19874895,-85.6793857
13027-119-000,2734  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),2886.00,1,1989,30.19870606,-85.6803
13027-121-000,2802  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),2518.00,1,1980,30.19911818,-85.6803
13027-123-000,2805  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),3155.00,1,1982,30.19945,-85.6807
13027-124-000,2727  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),2325.00,1,1983,30.19866364,-85.6803
13027-126-000,2727  MARRON DR   PANAMA CITY 32405,SINGLE FAM (000100),2762.00,1,1983,30.19823714,-85.6794
13027-128-000,2911  MARRON DR   PANAMA CITY 32405,SINGLE FAM (000100),2668.00,1,1985,30.19962375,-85.67893355
13029-000-000,3010  STANFORD RD   PANAMA CITY 32405,OFFICE BLD (001700),1350.00,1,1969,30.2,-85.6755
13030-000-000,3016  STANFORD RD   PANAMA CITY 32405,OFFICE BLD (001700),2750.00,1,1983,30.20030416,-85.67529353
13030-001-000,3022  STANFORD RD   PANAMA CITY 32405,WAREHOUSE- (004800),9880.00,1,1985,30.20042007,-85.67528671
13030-005-000,3014  STANFORD RD   PANAMA CITY 32405,OFFICE BLD (001700),1628.00,1,1977,30.20026553,-85.6752958
13030-010-000,3006  STANFORD RD   PANAMA CITY 32405,SINGLE FAM (000100),1617.00,1,1971,30.199975,-85.6755
13030-011-000,3008  STANFORD RD   PANAMA CITY 32405,MULTI-FAMI (000800),2368.00,1,1976,30.2002,-85.6755
13030-012-000,1211  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2461.00,1,1973,30.2002,-85.6798
13030-012-001,2812  JAMEDON DR   PANAMA CITY 32405,SINGLE FAM (000100),2709.00,1,1993,30.19917879,-85.6803
13032-000-000,3716  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),1607.00,1,1949,30.20576625,-85.68725091
13033-000-000,3715  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),1882.00,1,1956,30.20604739,-85.68753545
13034-000-000,3010  LISENBY AVE   PANAMA CITY 32405,WAREHOUSE- (004800),9750.00,1,1997,30.20245804,-85.6832
13034-010-000,3006  LISENBY AVE   PANAMA CITY 32405,WAREHOUSE- (004800),7820.00,1,1995,30.20244018,-85.6832
13035-000-000,3135  LISENBY AVE   PANAMA CITY 32405,STORE/OFFI (001200),3891.00,1,1960,30.20387698,-85.6832
13036-000-000,3100  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),1984.00,1,1967,30.2047,-85.6874
13036-010-000,3016  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),4074.00,2,1972,30.20473061,-85.6874
13038-000-000,1821  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1559.00,1,1963,30.203,-85.68909076
13039-010-000,1805  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1990.00,1,1969,30.203,-85.68902651
13039-020-000,1813  30TH ST W  PANAMA CITY 32405,MULTI-FAMI (000800),1500.00,1,1978,30.203,-85.68905863
13039-030-000,1830  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),2123.00,1,1971,30.203,-85.68912691
13039-031-000,1838  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1525.00,1,1973,30.203,-85.68915904
13039-032-000,1826  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1991.00,1,1972,30.203,-85.68911084
13039-040-000,1834  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),2313.00,1,1975,30.203,-85.68914297
13039-050-000,1801  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),2360.00,1,1972,30.203,-85.68901044
13040-000-000,1809  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1659.00,1,1967,30.203,-85.68904257
13041-000-000,1816  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1484.00,1,1969,30.203,-85.68907068
13042-000-000,1810  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),2160.00,1,1969,30.203,-85.68904659
13043-000-000,1829  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1827.00,1,1970,30.203,-85.68912289
13044-000-000,1825  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),2205.00,1,1970,30.203,-85.68910683
13050-000-000,3009  LISENBY AVE   PANAMA CITY 32405,SINGLE FAM (000100),898.00,1,1947,30.20245357,-85.6832
13053-000-000,1311  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),1235.00,1,1980,30.2027,-85.68077551
13054-000-000,1305  30TH ST W  PANAMA CITY 32405,MOBILE HOM (000200),1176.00,1,1979,30.2027,-85.6806102
13057-005-000,1321  30TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),2388.00,1,2018,30.2027,-85.68105102
13061-000-000,1237  30TH ST W  PANAMA CITY 32405,MOBILE HOM (000200),2164.00,1,1955,30.2029,-85.68100455
13065-010-000,2915  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),2209.00,1,1980,30.20216563,-85.6874
13066-000-000,2927  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),1216.00,1,2004,30.20227813,-85.6874
13066-040-000,2923  AIRPORT RD   PANAMA CITY 32405,MOBILE HOM (000200),2482.00,1,2000,30.20224063,-85.6874
13067-000-000,2002  29TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),6130.00,1,1955,30.2009,-85.69034698
13068-000-000,2004  29TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),3507.00,2,1963,30.2009,-85.69037517
13069-000-000,2006  29TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),2283.00,1,1953,30.2009,-85.69040336
13071-000-000,1836  29TH ST W  PANAMA CITY 32405,SINGLE FAM (000100),7783.00,2,1992,30.2009,-85.68800738
13072-000-000,2909  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),8994.00,2,2019,30.20210938,-85.6874
13074-010-000,2832  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),3233.00,1,1972,30.19998824,-85.6873
13074-020-000,1714  28TH CT W  PANAMA CITY 32405,SINGLE FAM (000100),2308.00,1,1974,30.19990947,-85.68667419
13106-101-000,1111  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2100.00,1,1976,30.2002,-85.677775
13106-105-000,1119  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2059.00,2,1980,30.2002,-85.678325
13106-151-000,1007  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2433.00,1,1977,30.2,-85.6761
13106-152-000,1009  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2096.00,1,1977,30.2,-85.6763
13106-153-000,1013  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),1614.00,1,1977,30.2002,-85.67574074
13106-154-000,1017  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2159.00,1,1977,30.2002,-85.67581481
13106-155-000,1021  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),1898.00,1,1977,30.2002,-85.67588889
13106-157-000,1107  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2233.00,1,1977,30.2002,-85.6775
13106-159-000,1115  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2101.00,1,1977,30.2002,-85.67805
13106-163-000,1103  28TH PL W  PANAMA CITY 32405,SINGLE FAM (000100),2325.00,1,1984,30.2002,-85.67910918
13106-170-000,2925  STANFORD RD   PANAMA CITY 32405,"STORES, 1 (001100)",1350.00,1,1977,30.19850408,-85.6755
13106-172-000,2923  STANFORD RD   PANAMA CITY 32405,LIGHT MANU (004100),1350.00,1,1977,30.19848776,-85.6755
13108-010-000,2701  LISENBY AVE   PANAMA CITY 32405,OFFICE BLD (001700),864.00,2,2000,30.1971,-85.6834
13109-000-000,2800  AIRPORT RD   PANAMA CITY 32405,SINGLE FAM (000100),1014.00,1,1950,30.19923571,-85.6875
13114-000-000,2726  FRANKFORD AVE   PANAMA CITY 32405,WAREHOUSE- (004800),2400.00,1,1997,30.19767708,-85.6918
13209-040-000,2401  STANFORD RD   PANAMA CITY 32405,MULTI-FAMI (000300),5074.00,1,1987,30.192946,-85.67580474
13209-041-000,1022  23RD ST W  PANAMA CITY 32405,FINANCIAL (002300),86803.00,8,2000,30.1898,-85.67605556
13209-050-000,1046  23RD ST W  PANAMA CITY 32405,OFFICE BLD (001700),1000.00,1,1979,30.1898,-85.67644343
13209-055-000,1002  23RD ST W  PANAMA CITY 32405,FINANCIAL (002300),41134.00,4,1989,30.1898,-85.67573232
13210-000-000,1415  AIRPORT RD   PANAMA CITY 32405,CHURCHES (007100),33010.00,1,1986,30.19212841,-85.68355114
13210-003-000,3113  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),1788.00,1,1978,30.20255371,-85.67872877
13210-004-000,3111  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),1778.00,1,1977,30.20253156,-85.67872944
13210-005-000,3109  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2067.00,1,1977,30.20250941,-85.67873011
13210-006-000,3107  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2367.00,1,1976,30.20248727,-85.67873078
13210-007-000,3105  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2237.00,1,1977,30.20246512,-85.67873145
13210-008-000,3103  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2070.00,1,1976,30.20244297,-85.67873212
13210-009-000,3021  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2145.00,1,1976,30.20153492,-85.67875964
13210-010-000,3019  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2287.00,1,1976,30.20151277,-85.67876031
13210-011-000,3017  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2130.00,1,1976,30.20149062,-85.67876098
13210-012-000,3015  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2429.00,1,1976,30.20146847,-85.67876165
13210-015-000,3011  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2288.00,1,1976,30.20142418,-85.678763
13210-021-000,3112  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),1716.00,1,1977,30.20254159,-85.67832895
13210-022-000,3110  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2125.00,1,1976,30.20251945,-85.67832962
13210-023-000,3108  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2748.00,1,1977,30.2024973,-85.67833029
13210-024-000,3106  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2039.00,2,1977,30.20247515,-85.67833096
13210-025-000,3104  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),1788.00,1,1977,30.202453,-85.67833164
13210-026-000,3102  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2331.00,1,1976,30.20243085,-85.67833231
13210-027-000,3020  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2634.00,1,1976,30.2015228,-85.67835982
13210-028-000,3018  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2273.00,1,1976,30.20150065,-85.67836049
13210-029-000,3016  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2247.00,1,1977,30.20147851,-85.67836117
13210-030-000,3014  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2207.00,1,1976,30.20145636,-85.67836184
13210-035-000,3010  LANNY LN   PANAMA CITY 32405,SINGLE FAM (000100),2221.00,1,1976,30.20141206,-85.67836318
13210-042-000,3144  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2789.00,1.5,1978,30.20189091,-85.6777
13210-044-000,3142  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2387.00,1,1978,30.20195354,-85.6777
13210-046-000,3140  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2087.00,1,1980,30.20201616,-85.6777
13210-048-000,3138  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2374.00,1,1978,30.20207879,-85.6777
13210-050-000,3136  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2155.00,1,1978,30.20214141,-85.6777
13210-052-000,3134  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1991.00,1,1978,30.20220404,-85.6777
13210-054-000,3132  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2277.00,1,1978,30.20226667,-85.6777
13210-056-000,3130  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2232.00,1,1978,30.20232929,-85.6777
13210-058-000,3128  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2064.00,1,1978,30.20239192,-85.6777
13210-060-000,3126  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1804.00,1,1978,30.20245455,-85.6777
13210-062-000,3124  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1716.00,1,1978,30.20251717,-85.6777
13210-064-000,3122  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2617.00,1,1978,30.2025798,-85.6777
13210-081-000,3104  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1632.00,1,1980,30.203,-85.67715657
13210-083-000,3102  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1606.00,1,1980,30.203,-85.67709394
13210-085-000,3100  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1648.00,1,1980,30.203,-85.67703131
13210-087-000,3020  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1706.00,1,1979,30.20082626,-85.6763
13210-090-000,3018  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1820.00,1,1980,30.20076364,-85.6763
13210-092-000,3016  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2030.00,1,1978,30.20070101,-85.6763
13210-094-000,3014  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1876.00,1,1979,30.20063838,-85.6763
13210-096-000,3012  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2309.00,1,1978,30.20057576,-85.6763
13210-098-000,3010  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1832.00,2,1978,30.20051313,-85.6763
13210-100-000,3135  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1799.00,1,1979,30.20220404,-85.6773
13210-102-000,3133  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2187.00,1,1977,30.20226667,-85.6773
13210-104-000,3131  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2536.00,1,1977,30.20232929,-85.6773
13210-106-000,3129  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1638.00,1,1979,30.20239192,-85.6773
13210-108-000,3127  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2818.00,1,1979,30.20245455,-85.6773
13210-110-000,3125  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1770.00,1,1979,30.20251717,-85.6773
13210-112-000,3123  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1748.00,1,1978,30.2025798,-85.6773
13210-114-000,3121  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2023.00,1,1979,30.20264242,-85.6773
13210-116-000,3119  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),1700.00,1,1979,30.20270505,-85.6773
13210-120-000,3113  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),3204.00,1,1977,30.2026,-85.67740707
13210-122-000,3111  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2357.00,1,1977,30.2026,-85.67734444
13210-124-000,3107  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2132.00,1,1978,30.2026,-85.67721919
13210-126-000,3105  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2737.00,1.5,1979,30.2026,-85.67715657
13210-128-000,3103  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2303.00,1,1979,30.2026,-85.67709394
13210-130-000,3101  LAWTON CT   PANAMA CITY 32405,SINGLE FAM (000100),2691.00,1.5,1979,30.2026,-85.67703131
